user_id,date,achievements,challenges,collections,fansearned,fanslost,grindearned,grindspent,itemsgifted,leagues,mtxstorevisits,premiumearned,premiumspent,pvfgames,pvpgames,regularstorevisits,seasons,seasonscompleted,sessionlength,sessions,staminaearned,staminaspent,player_activity
404626770,20151018,1.000000,7.000000,0.000000,0.000000,0.000000,349667.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,371.000000,2.000000,20.000000,10.000000,Active
404637538,20151018,2.000000,7.000000,2.000000,1800.000000,0.000000,125780.000000,15000.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,3.000000,8.000000,0.000000,3171.000000,9.000000,3.000000,22.000000,Active
404640107,20151018,2.000000,12.000000,2.000000,1133.000000,838.000000,3476.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,4.000000,0.000000,1435.000000,4.000000,25.000000,43.000000,Active
404695235,20151018,1.000000,2.000000,2.000000,270.000000,0.000000,1462.000000,4000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,289.000000,2.000000,15.000000,4.000000,Active
404717776,20151018,4.000000,21.000000,9.000000,300.000000,300.000000,28930.000000,16566.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,5.000000,13.000000,0.000000,0.000000,0.000000,31.000000,49.000000,Active
404751985,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,4.000000,0.000000,Active
404769498,20151018,0.000000,4.000000,2.000000,0.000000,225.000000,1533.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,531.000000,7.000000,13.000000,13.000000,Active
404823678,20151018,3.000000,6.000000,1.000000,0.000000,1700.000000,91627.000000,7500.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,3851.000000,5.000000,7.000000,3.000000,Churned
404847219,20151018,2.000000,29.000000,0.000000,1800.000000,200.000000,8248.000000,15150.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,5.000000,0.000000,2917.000000,8.000000,35.000000,45.000000,Active
404935228,20151018,3.000000,7.000000,3.000000,300.000000,0.000000,21540.000000,31800.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,2752.000000,9.000000,25.000000,9.000000,Active
404947393,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,282.000000,3.000000,0.000000,0.000000,Active
405030083,20151018,7.000000,9.000000,3.000000,6750.000000,49025.000000,20766.000000,17000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,4.000000,1.000000,7.000000,0.000000,6029.000000,18.000000,69.000000,31.000000,Active
405164938,20151018,5.000000,17.000000,4.000000,8038.000000,4850.000000,74060.000000,43633.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,5.000000,1.000000,10.000000,1.000000,3982.000000,3.000000,24.000000,28.000000,Active
405292463,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,Active
405357911,20151018,0.000000,12.000000,4.000000,75750.000000,200.000000,11797.000000,80400.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,3.000000,0.000000,2339.000000,5.000000,15.000000,22.000000,Active
405398419,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,0.000000,Active
405787048,20151018,2.000000,21.000000,6.000000,2000.000000,7175.000000,89681.000000,45900.000000,0.000000,0.000000,1.000000,5.000000,0.000000,0.000000,6.000000,2.000000,14.000000,0.000000,10523.000000,38.000000,58.000000,61.000000,Active
405796999,20151018,5.000000,3.000000,1.000000,300.000000,0.000000,6806.000000,11900.000000,0.000000,0.000000,1.000000,0.000000,400.000000,0.000000,0.000000,0.000000,1.000000,0.000000,326.000000,2.000000,29.000000,6.000000,Active
405799186,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69.000000,2.000000,0.000000,0.000000,Churned
405843207,20151018,12.000000,42.000000,8.000000,22043.000000,4525.000000,109533.000000,28400.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,8.000000,3.000000,18.000000,1.000000,9778.000000,11.000000,111.000000,70.000000,Active
405866015,20151018,1.000000,1.000000,1.000000,0.000000,2125.000000,250.000000,7500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,2.000000,1.000000,7.000000,Active
405887968,20151018,1.000000,1.000000,1.000000,300.000000,200.000000,3245.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,626.000000,3.000000,1.000000,3.000000,Active
405889896,20151018,6.000000,46.000000,13.000000,13130.000000,14950.000000,158798.000000,214100.000000,1.000000,2.000000,0.000000,5.000000,0.000000,0.000000,12.000000,7.000000,11.000000,0.000000,15670.000000,17.000000,85.000000,89.000000,Active
405892502,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,750.000000,37600.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,253.000000,1.000000,4.000000,0.000000,Active
405896386,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,286.000000,3.000000,0.000000,0.000000,Active
405902010,20151018,1.000000,14.000000,1.000000,4500.000000,0.000000,8452.000000,376100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1436.000000,2.000000,17.000000,18.000000,Active
405942163,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,Active
405950950,20151018,4.000000,1.000000,0.000000,0.000000,0.000000,5715.000000,6100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,2.000000,42.000000,3.000000,24.000000,3.000000,Active
406016445,20151018,0.000000,8.000000,0.000000,0.000000,0.000000,550.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,910.000000,4.000000,17.000000,7.000000,Active
406045894,20151018,1.000000,2.000000,2.000000,11100.000000,3600.000000,107349.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,6.000000,0.000000,0.000000,0.000000,1707.000000,2.000000,20.000000,10.000000,Active
406062237,20151018,1.000000,7.000000,2.000000,2450.000000,10795.000000,54046.000000,12000.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,6.000000,0.000000,2490.000000,4.000000,9.000000,34.000000,Active
406077435,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,Churned
406089891,20151018,0.000000,4.000000,2.000000,450.000000,0.000000,1205.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,2.000000,0.000000,666.000000,6.000000,10.000000,14.000000,Active
406106692,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,Churned
406139383,20151018,3.000000,2.000000,0.000000,0.000000,200.000000,10920.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,494.000000,3.000000,4.000000,6.000000,Active
406268330,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,Churned
406384762,20151018,2.000000,15.000000,13.000000,0.000000,1950.000000,28241.000000,33550.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.000000,4.000000,8.000000,1.000000,10300.000000,49.000000,45.000000,58.000000,Active
406398829,20151018,0.000000,19.000000,2.000000,450.000000,150.000000,10064.000000,22556.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,3.000000,1.000000,2928.000000,16.000000,22.000000,51.000000,Active
406423592,20151018,1.000000,8.000000,0.000000,450.000000,6090.000000,2154.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,0.000000,806.000000,1.000000,10.000000,11.000000,Active
406526183,20151018,1.000000,5.000000,1.000000,0.000000,0.000000,1640.000000,3500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,315.000000,1.000000,0.000000,8.000000,Active
406535927,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,Active
406594606,20151018,3.000000,10.000000,36.000000,450.000000,143.000000,129748.000000,27600.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,5.000000,3.000000,0.000000,3906.000000,14.000000,46.000000,37.000000,Active
406626790,20151018,1.000000,23.000000,2.000000,15300.000000,1150.000000,9598.000000,39800.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,4.000000,7.000000,0.000000,5596.000000,14.000000,84.000000,58.000000,Active
406668603,20151018,5.000000,46.000000,15.000000,61575.000000,8313.000000,53138.000000,68650.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,4.000000,4.000000,0.000000,8773.000000,30.000000,42.000000,60.000000,Active
406673769,20151018,0.000000,9.000000,1.000000,750.000000,0.000000,4944.000000,3800.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,2298.000000,2.000000,31.000000,17.000000,Active
406733655,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,Active
406793957,20151018,4.000000,2.000000,0.000000,6550.000000,2512.000000,1380.000000,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,2.000000,1.000000,0.000000,2483.000000,1.000000,23.000000,2.000000,Active
406818077,20151018,6.000000,48.000000,5.000000,12760.000000,22563.000000,39972.000000,59999.000000,0.000000,0.000000,0.000000,10.000000,99.000000,1.000000,9.000000,3.000000,20.000000,1.000000,9949.000000,11.000000,122.000000,79.000000,Active
406827419,20151018,1.000000,2.000000,2.000000,4675.000000,10.000000,19581.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,4.000000,8.000000,6.000000,Active
